CNTY,COMMON,INTSITE,SP_CODE,ST,YEAR,ab1nd,ab1ndpse,ab1ndse,ab1ndv,ab1ns,angs,c,hrsfs,month,name,s,site
111,"GRASS ROCKFISH",307,"8826010154",6,1984,0.0714285714,100,0.0714285714,0.0051020408,1,14,"111",36,1,"Pt. Hueneme East Jetty","307","111 307 Pt. Hueneme East J",
111,"KELP BASS",307,"8835021602",6,1984,0.0714285714,100,0.0714285714,0.0051020408,1,14,"111",36,1,"Pt. Hueneme East Jetty","307","111 307 Pt. Hueneme East J",
111,"WHITE CROAKER",308,"8835440201",6,1984,0.7291666667,62.884966013,0.4585362105,0.2102554563,11,15,"111",55,1,"Channel Islands Harbor North Jetty","308","111 308 Channel Islands Ha",
111,"WHITE CROAKER",200,"8835440201",6,1985,0.0952380952,100,0.0952380952,0.0090702948,2,21,"111",53.5,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"YELLOWFIN CROAKER",200,"8835441105",6,1985,0.0476190476,100,0.0476190476,0.0022675737,1,21,"111",53.5,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"BARRED SURFPERCH",200,"8835600702",6,1985,0.2380952381,59.329587897,0.1412609236,0.0199546485,5,21,"111",53.5,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"WALLEYE SURFPERCH",201,"8835600401",6,1985,0.375,100,0.375,0.140625,3,8,"111",31.5,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"CABEZON",209,"8831023101",6,1985,0.1153846154,100,0.1153846154,0.0133136095,1.5,13,"111",48.5,1,"Solimar","209","111 209 Solimar",
111,"WALLEYE SURFPERCH",212,"8835600401",6,1985,0.275,100,0.275,0.075625,1.375,5,"111",21,1,"Bass Rock","212","111 212 Bass Rock",
111,"BARRED SURFPERCH",212,"8835600702",6,1985,1.1,100,1.1,1.21,5.5,5,"111",21,1,"Bass Rock","212","111 212 Bass Rock",
111,"PACIFIC STAGHORN SCULPIN",303,"8831021801",6,1985,0.1818181818,67.082039325,0.1219673442,0.0148760331,2,11,"111",30.5,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"WHITE CROAKER",303,"8835440201",6,1985,0.5454545455,67.082039325,0.3659020327,0.1338842975,6,11,"111",30.5,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"JACKSMELT",305,"8805020601",6,1986,0.2,100,0.2,0.04,1,5,"111",16.5,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"WHITE CROAKER",305,"8835440201",6,1986,0.4,100,0.4,0.16,2,5,"111",16.5,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"JACKSMELT",1,"8805020601",6,1987,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",49,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",1,"8835600702",6,1987,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",49,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"CALIFORNIA HALIBUT",1,"8857030309",6,1987,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",49,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SANDBASS",306,"8835021604",6,1987,0.0625,100,0.0625,0.00390625,1,16,"111",37,1,"Channel Islands Harbor South Jetty","306","111 306 Channel Islands Ha",
111,"ROCK WRASSE",306,"8839010710",6,1987,0.0625,100,0.0625,0.00390625,1,16,"111",37,1,"Channel Islands Harbor South Jetty","306","111 306 Channel Islands Ha",
111,"JACKSMELT",308,"8805020601",6,1987,0.1111111111,70.710678119,0.0785674201,0.0061728395,2,18,"111",63.5,1,"Channel Islands Harbor North Jetty","308","111 308 Channel Islands Ha",
111,"WHITE CROAKER",308,"8835440201",6,1987,0.1111111111,68.599434057,0.0762215934,0.0058097313,2,18,"111",63.5,1,"Channel Islands Harbor North Jetty","308","111 308 Channel Islands Ha",
111,"BLACK PERCH",308,"8835600302",6,1987,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",63.5,1,"Channel Islands Harbor North Jetty","308","111 308 Channel Islands Ha",
111,"WALLEYE SURFPERCH",308,"8835600401",6,1987,0.1666666667,54.232614455,0.0903876908,0.0081699346,3,18,"111",63.5,1,"Channel Islands Harbor North Jetty","308","111 308 Channel Islands Ha",
111,"SHOVELNOSE GUITARFISH",22,"8713020104",6,1993,0.0769230769,52.704627669,0.0405420213,0.0016436555,1,13,"111",61.5,1,"Rincon","22","111  22 Rincon",
111,"OPALEYE",22,"8835510201",6,1993,0.0769230769,100,0.0769230769,0.0059171598,1,13,"111",61.5,1,"Rincon","22","111  22 Rincon",
111,"WALLEYE SURFPERCH",22,"8835600401",6,1993,0.2307692308,52.704627669,0.1216260639,0.0147928994,3,13,"111",61.5,1,"Rincon","22","111  22 Rincon",
111,"BARRED SURFPERCH",22,"8835600702",6,1993,1.0769230769,52.704627669,0.567588298,0.322156476,14,13,"111",61.5,1,"Rincon","22","111  22 Rincon",
111,"SURFPERCH FAMILY",23,"8835600000",6,1993,0.037037037,100,0.037037037,0.0013717421,1,27,"111",67,1,"Pt. Hueneme West Jetty","23","111  23 Pt. Hueneme West J",
111,"CALIFORNIA CORBINA",201,"8835440607",6,1993,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",48,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"WALLEYE SURFPERCH",201,"8835600401",6,1993,0.2222222222,58.157999804,0.1292399996,0.0167029775,4,18,"111",48,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"BARRED SURFPERCH",201,"8835600702",6,1993,0.7222222222,51.059093001,0.3687601161,0.1359840232,13,18,"111",48,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"JACKSMELT",209,"8805020601",6,1993,0.2954545455,52.058228664,0.1538084029,0.0236570248,3.25,11,"111",32.5,1,"Solimar","209","111 209 Solimar",
111,"WHITE CROAKER",214,"8835440201",6,1993,0.0555555556,100,0.0555555556,0.0030864198,1,18,"111",42.5,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"WALLEYE SURFPERCH",214,"8835600401",6,1993,0.1111111111,100,0.1111111111,0.012345679,2,18,"111",42.5,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"BARRED SURFPERCH",214,"8835600702",6,1993,0.2222222222,77.649286956,0.172553971,0.0297748729,4,18,"111",42.5,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"BARRED SURFPERCH",220,"8835600702",6,1993,0.6666666667,50,0.3333333333,0.1111111111,2,3,"111",6,1,"Silver Strand","220","111 220 Silver Strand",
111,"BARRED SURFPERCH",200,"8835600702",6,1994,2,100,2,4,6,3,"111",10,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"WHITE CROAKER",214,"8835440201",6,1994,0.0540540541,69.721668878,0.0376873886,0.0014203393,2,37,"111",87.5,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"WALLEYE SURFPERCH",201,"8835600401",6,1996,0.0833333333,67.419986246,0.0561833219,0.0031565657,1,12,"111",25.5,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"BARRED SURFPERCH",201,"8835600702",6,1996,1.9166666667,57.873765598,1.109247174,1.2304292929,23,12,"111",25.5,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"CABEZON",213,"8831023101",6,1996,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"YELLOWFIN CROAKER",213,"8835441105",6,1996,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"OPALEYE",213,"8835510201",6,1996,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"BLACK PERCH",213,"8835600302",6,1996,1.3529411765,62.724078462,0.8486198851,0.7201557093,23,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"WALLEYE SURFPERCH",213,"8835600401",6,1996,0.8823529412,93.15459075,0.8219522713,0.6756055363,15,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"WHITE SEAPERCH",213,"8835600501",6,1996,0.2941176471,100,0.2941176471,0.0865051903,5,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"PILE PERCH",213,"8835600601",6,1996,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"BARRED SURFPERCH",213,"8835600702",6,1996,0.3529411765,100,0.3529411765,0.124567474,6,17,"111",31.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"JACKSMELT",214,"8805020601",6,1996,0.0256410256,100,0.0256410256,0.0006574622,1,39,"111",83,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"BLACK PERCH",214,"8835600302",6,1996,0.1025641026,69.774071492,0.0715631502,0.0051212845,4,39,"111",83,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"WALLEYE SURFPERCH",214,"8835600401",6,1996,0.0256410256,100,0.0256410256,0.0006574622,1,39,"111",83,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"WHITE SEAPERCH",214,"8835600501",6,1996,0.1282051282,51.093309893,0.0655042435,0.0042908059,5,39,"111",83,1,"Channel Islands Harbor","214","111 214 Channel Islands Ha",
111,"WALLEYE SURFPERCH",302,"8835600401",6,1996,0.0384615385,100,0.0384615385,0.0014792899,1,26,"111",72,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"BARRED SURFPERCH",302,"8835600702",6,1996,0.0384615385,100,0.0384615385,0.0014792899,1,26,"111",72,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"CABEZON",305,"8831023101",6,1996,0.1666666667,63.245553203,0.1054092553,0.0111111111,1,6,"111",21,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"OPALEYE",305,"8835510201",6,1996,1.5,43.885372574,0.6582805886,0.4333333333,9,6,"111",21,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"BLACK PERCH",305,"8835600302",6,1996,2.5,31.83289703,0.7958224258,0.6333333333,15,6,"111",21,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"WALLEYE SURFPERCH",305,"8835600401",6,1996,0.1666666667,63.245553203,0.1054092553,0.0111111111,1,6,"111",21,1,"Ventura Marina North & South Jetties","305","111 305 Ventura Marina Nor",
111,"SILVERSIDE FAMILY",1,"8805020000",6,1997,0.0181818182,100,0.0181818182,0.0003305785,1,55,"111",163.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"JACKSMELT",1,"8805020601",6,1997,0.0181818182,30.765273566,0.0055936861,0.0000312893,1,55,"111",163.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"SURFPERCH FAMILY",1,"8835600000",6,1997,0.0545454545,73.981423539,0.0403535037,0.0016284053,3,55,"111",163.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",1,"8835600702",6,1997,0.3454545455,66.435425364,0.2295041967,0.0526721763,19,55,"111",163.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",201,"8835600702",6,1997,0.3,68.824720161,0.2064741605,0.0426315789,6,20,"111",31.5,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"TOPSMELT",213,"8805020101",6,1997,0.0555555556,54.232614455,0.0301292303,0.0009077705,1,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"JACKSMELT",213,"8805020601",6,1997,0.0555555556,54.232614455,0.0301292303,0.0009077705,1,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"WHITE CROAKER",213,"8835440201",6,1997,2,43.489537469,0.8697907494,0.7565359477,36,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"OPALEYE",213,"8835510201",6,1997,0.114379085,70.739533732,0.0809112314,0.0065466274,2,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"BLACK PERCH",213,"8835600302",6,1997,0.8562091503,33.985543841,0.2909873362,0.0846736298,15,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"WALLEYE SURFPERCH",213,"8835600401",6,1997,1.0196078431,46.273882367,0.4718121339,0.2226066897,18,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"BARRED SURFPERCH",213,"8835600702",6,1997,0.2222222222,45.374260649,0.1008316903,0.0101670298,4,18,"111",64.5,1,"Ventura Marina Harbor","213","111 213 Ventura Marina Har",
111,"JACKSMELT",1,"8805020601",6,1998,0.5555555556,52.915026221,0.2939723679,0.0864197531,5,9,"111",24.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",1,"8835600702",6,1998,0.2222222222,66.143782777,0.1469861839,0.0216049383,2,9,"111",24.5,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"JACKSMELT",104,"8805020601",6,1998,0.3404255319,41.519213729,0.1413420042,0.0199775621,16,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"PACIFIC STAGHORN SCULPIN",104,"8831021801",6,1998,0.0212765957,69.937860618,0.0148803959,0.0002214262,1,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"KELP BASS",104,"8835021602",6,1998,0.0212765957,100,0.0212765957,0.0004526935,1,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WHITE CROAKER",104,"8835440201",6,1998,0.1914893617,51.80582268,0.0992026392,0.0098411636,9,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"YELLOWFIN CROAKER",104,"8835441105",6,1998,0.0212765957,100,0.0212765957,0.0004526935,1,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"BLACK PERCH",104,"8835600302",6,1998,0.0638297872,100,0.0638297872,0.0040742417,3,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WHITE SEAPERCH",104,"8835600501",6,1998,0.0638297872,73.884620849,0.0471603963,0.002224103,3,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"PILE PERCH",104,"8835600601",6,1998,0.0425531915,100,0.0425531915,0.0018107741,2,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"RUBBERLIP SEAPERCH",104,"8835600602",6,1998,0.085106383,78.539660433,0.0668422642,0.0044678883,4,47,"111",121.5,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"TOPSMELT",219,"8805020101",6,1998,0.1923076923,100,0.1923076923,0.0369822485,5,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"JACKSMELT",219,"8805020601",6,1998,0.5,65.723105733,0.3286155287,0.1079881657,13,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"WHITE CROAKER",219,"8835440201",6,1998,0.0769230769,100,0.0769230769,0.0059171598,2,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"SURFPERCH FAMILY",219,"8835600000",6,1998,0.0384615385,100,0.0384615385,0.0014792899,1,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"WALLEYE SURFPERCH",219,"8835600401",6,1998,0.0769230769,69.282032303,0.053293871,0.0028402367,2,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"WHITE SEAPERCH",219,"8835600501",6,1998,0.0384615385,100,0.0384615385,0.0014792899,1,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"BARRED SURFPERCH",219,"8835600702",6,1998,0.1538461538,59.160797831,0.091016612,0.0082840237,4,26,"111",63,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"CABEZON",103,"8831023101",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",43.5,1,"Ventura Harbor North Jetty","103","111 103 Ventura Harbor Nor",
111,"OPALEYE",103,"8835510201",6,1999,0.1176470588,100,0.1176470588,0.0138408304,2,17,"111",43.5,1,"Ventura Harbor North Jetty","103","111 103 Ventura Harbor Nor",
111,"BLACK PERCH",103,"8835600302",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",43.5,1,"Ventura Harbor North Jetty","103","111 103 Ventura Harbor Nor",
111,"PILE PERCH",103,"8835600601",6,1999,0.1176470588,68.465319688,0.0805474349,0.0064878893,2,17,"111",43.5,1,"Ventura Harbor North Jetty","103","111 103 Ventura Harbor Nor",
111,"BARRED SURFPERCH",103,"8835600702",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",43.5,1,"Ventura Harbor North Jetty","103","111 103 Ventura Harbor Nor",
111,"JACKSMELT",104,"8805020601",6,1999,0.1071428571,57.017793772,0.0610904933,0.0037320484,3,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WHITE CROAKER",104,"8835440201",6,1999,0.0357142857,100,0.0357142857,0.0012755102,1,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WALLEYE SURFPERCH",104,"8835600401",6,1999,0.0357142857,100,0.0357142857,0.0012755102,1,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WHITE SEAPERCH",104,"8835600501",6,1999,0.2142857143,69.388866649,0.1486904285,0.0221088435,6,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"BARRED SURFPERCH",104,"8835600702",6,1999,0.1071428571,55.555555556,0.0595238095,0.0035430839,3,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"CHUB (PACIFIC) MACKEREL",104,"8850030301",6,1999,0.8571428571,52.411006289,0.4492371968,0.201814059,24,28,"111",71,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"CABEZON",209,"8831023101",6,1999,0.017578125,100,0.017578125,0.0003089905,1.125,64,"111",191.5,1,"Solimar","209","111 209 Solimar",
111,"YELLOWFIN CROAKER",209,"8835441105",6,1999,0.0625,76.635604473,0.0478972528,0.0022941468,4,64,"111",191.5,1,"Solimar","209","111 209 Solimar",
111,"WALLEYE SURFPERCH",209,"8835600401",6,1999,0.015625,100,0.015625,0.0002441406,1,64,"111",191.5,1,"Solimar","209","111 209 Solimar",
111,"BARRED SURFPERCH",209,"8835600702",6,1999,0.7,32.161911974,0.2251333838,0.0506850405,44.8,64,"111",191.5,1,"Solimar","209","111 209 Solimar",
111,"CALIFORNIA CORBINA",212,"8835440607",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",67.5,1,"Bass Rock","212","111 212 Bass Rock",
111,"BLACK PERCH",212,"8835600302",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",67.5,1,"Bass Rock","212","111 212 Bass Rock",
111,"BARRED SURFPERCH",212,"8835600702",6,1999,0.6470588235,49.48077513,0.3201697214,0.1025086505,11,17,"111",67.5,1,"Bass Rock","212","111 212 Bass Rock",
111,"THORNBACK",219,"8713020201",6,1999,0.1666666667,100,0.1666666667,0.0277777778,1,6,"111",17.5,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"WHITE CROAKER",219,"8835440201",6,1999,0.3333333333,63.245553203,0.2108185107,0.0444444444,2,6,"111",17.5,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"BARRED SURFPERCH",219,"8835600702",6,1999,0.3333333333,70.710678119,0.2357022604,0.0555555556,2,6,"111",17.5,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"BARRED SANDBASS",223,"8835021604",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",23,1,"Pt. Hueneme West Jetty","223","111 223 Pt. Hueneme West J",
111,"BLACK PERCH",223,"8835600302",6,1999,0.0588235294,100,0.0588235294,0.0034602076,1,17,"111",23,1,"Pt. Hueneme West Jetty","223","111 223 Pt. Hueneme West J",
111,"SILVERSIDE FAMILY",1,"8805020000",6,2001,1.1111111111,100,1.1111111111,1.2345679012,20,18,"111",38,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",1,"8835600702",6,2001,0.1111111111,100,0.1111111111,0.012345679,2,18,"111",38,1,"Pt. Hueneme Pier","1","111   1 Pt. Hueneme Pier",
111,"BARRED SURFPERCH",201,"8835600702",6,2001,1.8,45.961754244,0.8273115764,0.6844444444,18,10,"111",35.5,1,"Pt. Mugu to Big Sycamore","201","111 201 Pt. Mugu to Big Sy",
111,"JACKSMELT",209,"8805020601",6,2001,0.5,57.735026919,0.2886751346,0.0833333333,2,4,"111",12,1,"Solimar","209","111 209 Solimar",
111,"CALIFORNIA CORBINA",209,"8835440607",6,2001,0.5,57.735026919,0.2886751346,0.0833333333,2,4,"111",12,1,"Solimar","209","111 209 Solimar",
111,"SPOTFIN CROAKER",209,"8835442401",6,2001,0.25,57.735026919,0.1443375673,0.0208333333,1,4,"111",12,1,"Solimar","209","111 209 Solimar",
111,"BARRED SURFPERCH",209,"8835600702",6,2001,1.5,57.735026919,0.8660254038,0.75,6,4,"111",12,1,"Solimar","209","111 209 Solimar",
111,"WHITE SEAPERCH",219,"8835600501",6,2001,0.0666666667,100,0.0666666667,0.0044444444,1,15,"111",48.5,1,"Ventura Pier","219","111 219 Ventura Pier",
111,"BARRED SURFPERCH",22,"8835600702",6,2003,0.4693877551,66.650911812,0.3128512187,0.097875885,3.2857142857,7,"111",30,1,"Rincon","22","111  22 Rincon",
111,"PACIFIC SARDINE",104,"8747010301",6,2003,0.5,64.499035564,0.3224951778,0.1040031397,7,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"JACKSMELT",104,"8805020601",6,2003,0.9285714286,84.075740178,0.7807033017,0.6094976452,13,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"BLACK PERCH",104,"8835600302",6,2003,0.0714285714,100,0.0714285714,0.0051020408,1,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"WHITE SEAPERCH",104,"8835600501",6,2003,0.0714285714,100,0.0714285714,0.0051020408,1,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"PILE PERCH",104,"8835600601",6,2003,0.1428571429,67.936622049,0.0970523172,0.0094191523,2,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
111,"RUBBERLIP SEAPERCH",104,"8835600602",6,2003,0.0714285714,100,0.0714285714,0.0051020408,1,14,"111",34.8,1,"Channel Islands Harbor South Jetty","104","111 104 Channel Islands Ha",
